Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Score,Zone,Meeting_Name,Day,Start,End,Type
"Harlem Children's Zone Admin. Offices",35 East 125 Street,New York,NY,10035,"35 East 125 Street,1st Floor Conference Room,@ Madison Avenue,10035",40.805958,-73.940763,100,09,"125",Saturdays,4:15 PM,5:30 PM,B
"Peter Jay Sharpe Building",223 East 117th Street,New York,NY,10035,"223 East 117th Street,1st Floor Dining Room,Betw. 2nd & 3rd Avenues,NY 10035",40.7982106,-73.9382769,100,09,"East Harlem",Tuesdays,6:30 PM,7:30 PM,B
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Sundays,5:00 PM,6:00 PM,OD
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Mondays,8:00 PM,9:00 PM,B
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Tuesdays,8:00 PM,9:00 PM,OD
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Wednesdays,8:00 PM,9:00 PM,C
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Thursdays,8:00 PM,9:00 PM,OD
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Fridays,8:00 PM,9:00 PM,OD
"2126 2nd Avenue",2126 2nd Avenue,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.7927121,-73.94069,100,09,"Grupo Nueva Vida",Saturdays,8:00 PM,9:00 PM,OD
"Veterans Residence",22 East 119th Street,New York,NY,10035,"22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,100,09,"Harlem 1 Pm Recovery",Sundays,1:00 PM,2:00 PM,T
"Veterans Residence",22 East 119th Street,New York,NY,10035,"22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,100,09,"Harlem 1 Pm Recovery",Mondays,1:00 PM,2:00 PM,B
"St Andrews Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Rectory Basement,Between Duane and Pearl Streets,10007",40.7132514,-74.002398,100,01,"A Design For Living",Thursdays,7:00 AM,8:00 AM,OD
"St Andrews Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Rectory Basement,Between Duane and Pearl Streets,10007",40.7132514,-74.002398,100,01,"A Design For Living",Tuesdays,7:00 AM,8:00 AM,B
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street",Mondays,12:15 PM,1:15 PM,OD
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street",Wednesdays,12:15 PM,1:15 PM,S
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street",Thursdays,12:15 PM,1:15 PM,B
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Chambers Street",Fridays,12:15 PM,1:15 PM,BB
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Friday Downtown",Fridays,6:00 PM,7:00 PM,OD
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar",Mondays,1:15 PM,2:15 PM,B
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar",Tuesdays,1:15 PM,2:15 PM,C
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar",Wednesdays,1:15 PM,2:15 PM,C
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar",Thursdays,1:15 PM,2:15 PM,S
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Passing The Bar",Fridays,1:15 PM,2:15 PM,BB
"St. Andrew's Church",20 Cardinal Hayes Place,New York,NY,10007,"20 Cardinal Hayes Place,Enter through driveway behind Church.,1 Block North of Chambers Street,NY 10007",40.7132514,-74.002398,100,01,"Women's Downtown Aa Step Meeting",Wednesdays,1:15 PM,2:15 PM,S
"Church of the Transfiguration",29 Mott Street,New York,NY,10013,"29 Mott Street,Basement,@ Mott & Mosco Streets,NY 10013",40.7147965,-73.9990363,100,01,"Chinatown",Tuesdays,6:30 PM,7:30 PM,C
